Boston, New York, USA	42.6289858 -78.7376213
Mkhaya Game Reserve, Swaziland	-26.61458245 31.728076982229403
Sindhudurg District, Maharashtra, India	16.09767805 73.70120253906465
Kurdistan, Iraq	36.4239244 44.3283934
Farah Province, Afghanistan	32.607111 62.671011
Belen New Mexico, USA	34.6627495 -106.7762
Aquitaine, France	43.9896575 0.0576943
Casino, Blankenberge, Belgium	51.316243549999996 3.129635741344603
Sector-32,Chandigarh, India	30.7083938 76.7752933
Byron, Michigan, USA	42.8228091 -83.9444027
Nicholls, Georgia, USA	31.5174219 -82.6348602
Dharmapuri, India	12.09680475 78.19304301026716
Mcleodganj, Himachal Pradesh, India	32.2382329 76.3126877
McLeod Ganj, Himachal Pradesh, India	32.2352666 76.326238
Villiersdorp, South Africa	-33.990278 19.29
Sanyi, Taiwan	24.4130625 120.7704023
Donna, Texas, USA	26.1702082 -98.0522376
Devon, England, Uk	50.724140500000004 -3.6607788161410735
Sofala, New South Wales, Australia	-33.0804671 149.6914789
Yelm, Washington, USA	46.9413877 -122.60639
Glienicke/Nordbahn, Brandenburg, Germany	52.63227 13.3307308
Dania, Florida, USA	26.0543154 -80.1457426
Midlothian, Illinois, USA	41.6253116 -87.7175491
Sevilla, Bohol, Philippines	9.7032416 124.0457161
Chinchilla, Queensland, Australia	-26.7416613 150.6225161
Sarasota County, Florida, USA	27.1813609 -82.3609195
Alamo, California, USA	37.855102 -122.00666961517742
Ourense, Galicia, Spain	42.1968459 -7.6114105
Northlake, Texas, USA	33.1273432 -97.2655726
Yokote, Akita, Japan	39.3102209 140.5528211
Rue de Harlay, Paris, France	48.8561378 2.3428536
Langford, British Columbia, Canada	48.4497693 -123.5046662
Fraser, California, USA	38.16902145 -119.69742906211516
Kastav, Croatia	45.3731673 14.3487225
Shotover River, Otago, New Zealand	-44.8387092 168.7003034
Brokdorf, Schleswig-Holstein, Germany	53.8687514 9.3243161
Aveyron, France	44.315857449999996 2.5065697302419823
Filmoteca de Catalunya, Barcelona, Spain	41.378512650000005 2.170965940430206
Lasalle, Quebec, Canada	45.4325141 -73.6292667
Dale, Texas, USA	29.9274436 -97.5644418
Dondo, Angola	-9.6863736 14.4232032
Kingoonya, South Australia, Australia	-30.9098812 135.30707351755325
Raymondville, Texas, USA	26.4814565 -97.783051
Renfrew County, Ontario, Canada	45.7300564 -77.2793698
Delfzijl, Groningen, Netherlands	53.3337339 6.9237352
Troms�, Norway	69.6819069 18.972490634079904
Creede, Colorado, USA	37.8483224 -106.9254767
Jacksonville, Arkansas, USA	34.8662005 -92.1101458
West Chester, Iowa, USA	41.3389036 -91.8176711
Balta Doamnei, Prahova, Romania	44.7584453 26.1747099
Komsomolskiy Prospekt, Moscow, Russia	55.7351842 37.5942163
East Anglia, England, UK	50.90884565 -1.4027667002964024
Kiryu, Gunma, Japan	36.4055296 139.3310209
Brugge, West-Vlaanderen, Belgium	51.2085526 3.226772
Twiste, Hesse, Germany	51.3506446 9.0265561
The Dhara Dhevi, Chiang Mai, Thailand	18.77824855 99.0383114
Margaretville, New York, USA	42.1487726 -74.6487018
Gate City, Virginia, USA	36.6378774 -82.5809876
Brighton East, Victoria, Australia	-37.9171728 145.0163663
Frankopanska Street, Zagreb, Croatia	45.8132266 15.96971
Bangor, Maine, USA	44.8011821 -68.7778138
28 Frederiksberg Alle, Frederiksberg, Denmark	55.673662 12.546452
Theater Akzent, Vienna, Austria	48.1922246 16.3750079
Dupont, Washington, USA	47.0990689 -122.637546
Somero, Finland	60.6299165 23.5139982
Esmeraldas, Ecuador	0.7343619 -79.3858867
Whitesville, Kentucky, USA	37.6831068 -86.87138
Grunewald, Berlin, Germany	52.4873475 13.2637538
Baldwin County, Alabama, USA	30.5677527 -87.7324392
Tayahua, Zacatecas, Mexico	22.0958065 -102.871228
Kapiti Coast, Wellington, New Zealand	-40.856868750000004 175.194472026402
Bray Vevay Road, County Wicklow, Ireland	53.1871031 -6.0991498
Midtjylland, Jylland, Denmark	56.1512067 10.2132527
Anjar, Lebanon	33.7282212 35.9314084
Commonwealth Cemetery, Picardy, France	50.1780766 3.2591692101321605
Hyattsville, Maryland, USA	38.9529442 -76.9408647
Sano, Tochigi, Japan	36.3144119 139.578429
Old Crow, Yukon, Canada	67.571002 -139.825745
Unterschwaningen, Bavaria, Germany	49.0808371 10.6194832
Plaka, Athens, Greece	37.9728505 23.7300556
Olympiastadion, Berlin	52.5145846 13.239814417756278
Azrieli Center, Tel Aviv, Israel	32.07470355 34.79197052798828
Gzowo, Mazowieckie, Poland	52.6108479 21.1161349
Clarington, Ontario, Canada	43.96868585 -78.65135738273909
Lippe, North Rhine-Westphalia, Germany	51.6711439 7.7165069
Bethesda, Ontario, Canada	43.966696 -79.3569532
Konge, Kampala, Uganda	0.2682646 32.6058578
Richmond, Michigan, USA	42.8091969 -82.7557554
Xel-ha, Quintana Roo, Mexico	20.318501150000003 -87.35827154281672
Twin Ring Motegi, Tochigi, Japan	36.53136205 140.22944924889907
Temasek Boulevard, Singapore, Singapore	1.2939486 103.858378
Unter Sachsenhausen, Cologne, Germany	50.9426032 6.9507865
Ardrossan, South Australia, Australia	-34.424675 137.915867
Lifta, Israel	31.7964636 35.1963109
Norridgewock, Maine, USA	44.713074 -69.790649
Laguna, New Mexico, USA	35.0363693 -107.3867208
Ganges River, India	25.7202249 84.1052245
High Street, Christchurch, New Zealand	-43.5357486 172.6417893
Morrow, Ohio, USA	39.3545046 -84.1271568
Nieuwe Achtergracht, Amsterdam, The Netherlands	52.3630304 4.9104515
Lainzer Tiergarten, Vienna, Austria	48.1766585 16.220236158032222
Gloucestershire, England, UK	51.8333313 -2.1666674
Teatro Nacional Eduardo Brito, Santo Domingo, Dominican Republic	18.4709007 -69.91088570419677
LaSalle, Ontario, Canada	42.21807995 -83.06409000924808
Ujazd, Swietokrzyskie, Poland	50.7133276 21.3105453
Randwick, NSW, Australia	-33.945516749999996 151.24403017442353
Cammarata, Italy	37.6338246 13.6377454
Magnolia Springs, Alabama, USA	30.4007145 -87.77632300797607
Bakhchisarai, Crimea, Ukraine	44.7522963 33.8534782
Orange County, Vermont, USA	43.9950352 -72.3763533
Burkburnett Cemetery, Texas, USA	34.0778528 -98.55256935746863
Alto Douro, Vila Real, Portugal	41.286520249999995 -7.739795402675865
Cazadero, CA USA	38.5334117 -123.0854625
Dobrzykowice, Dolnoslaskie, Poland	51.0930764 17.191386
East Fallowfield, Pennsylvania, USA	39.8724006 -76.0043944
Bovingdon, Hertfordshire, UK	51.7234367 -0.5327056
360 Lynn Fells Parkway, Massachusetts, USA	42.464331200000004 -71.06669548826852
Winslow, AZ 86047, USA	35.0241874 -110.6973572
Wheeler, Oregon, USA	45.689614 -123.88113
Llano Grande, Durango, Mexico	23.8636455 -105.2051306
Vex, Valais, Switzerland	46.2113825 7.3983622
Evksinograd, Varna, Bulgaria	43.218800900000005 27.988295335392934
Warren, Michigan, USA	42.4932575 -83.0062746
Wilcox, Arizona, USA	32.7411157 -114.4804579
Kansas City, Missouri, USA	39.100105 -94.5781416
Strathfield, New South Wales, Australia	-33.87981765 151.07852459132124
Wyndham, Victoria, Australia	-37.02272524999999 147.2406835440056
Maribor, Slovenia	46.5576439 15.6455854
Glanville, South Australia, Australia	-34.8441045 138.490891
Egia, San Sebastian, Spain	43.3167836 -1.9722385
Ylistaro, Finland	62.9504049 22.5241451
Herzliya Hebrew Gymnasium, Tel Aviv, Israel	32.0866755 34.78522310603985
New Harmony, Indiana, USA	38.129656 -87.9354109
Niimi, Okayama, Japan	34.9775653 133.4704309
Panama	8.559559 -81.1308434
Banffshire, Scotland, UK	57.5 -3.083333
Laurel, Montana, USA	45.6691159 -108.771532
Newmarket-On-Fergus, County Clare, Ireland	52.7605895 -8.8961465
Kissimmee, Florida, USA	28.2918995 -81.4075838
Votkinsk, Udmurtia, Russia	57.052505 53.990612
Columbia, North Carolina, USA	35.9176633 -76.2521521
Manche, France	49.091895199999996 -1.2454952394090721
Sievi, Finland	63.9082625 24.5159868
Walterboro, South Carolina, USA	32.9021377 -80.6672631
Sass Pordoi, Dolomiti, Italy	46.4887098 11.8105934
Northwest Indiana, USA	41.4164496 -85.74663928833557
Faucogney-et-la-Mer, Haute-Sa�ne, France	47.8440682 6.5624523
Khanty-Mansiysk, Siberia, Russia	62.0 76.0
Teatro Villaret, Lisbon, Portugal	38.7302473 -9.1467165
Hazleton, Pennsylvania, USA	40.9646867 -75.9852789
Paris 3, Paris, France	48.84669875 2.252604434669352
Groom Lake, Nevada, USA	37.27483465 -115.80109583762876
Keene Valley, New York, USA	44.1899781 -73.7862601
Bahamas	24.7736546 -78.0000547
Valenovac, Croatia	45.5026628 17.9700997
Bidiyah, Ash Sharqiyah, Oman	22.4331351 58.7994372
Hazelton, Pennsylvania, USA	41.8986734 -78.718919
Taevaskoja, Estonia	58.101369500000004 27.05509763750452
Laeken cemetery, Brussels, Belgium	50.87961705 4.3531773131895415
Santa Branca, Brazil	-23.3974353 -45.8842294
Vaasa, Finland	63.0957722 21.6159187
East Berne, New York, USA	42.6164662 -74.0745747
Mendocino County, California, USA	39.3176491 -123.4126399
Chorillo, Panama	-28.463867 -71.2182069
Cowlitz County, Washington, USA	46.1998625 -122.6931507
Charny-Or�e-de-Puisaye, Yonne, France	47.8870953 3.1010176
Gubin, Lubuskie, Poland	51.95734105 14.737042559250952
St Tropez, France	43.2727191 6.6405225
Andalusia, Alabama, USA	31.3080607 -86.482424
Hanska, Minnesota, USA	44.1488494 -94.494136
West Zealand, Denmark	55.31220355 10.907252870323513
Krasnosielc, Poland	53.0335809 21.1575267
Loganholme, Queensland, Australia	-27.683054 153.1894379
Silifke, Mersin, Turkey	36.5858354 33.94823827409532
Toronto, Ontario, USA	42.0359038 -93.6737694
Kiyevsky Rail Terminal, Moscow, Russia	55.7431194 37.5654146728006
Albany, Illinois, USA	41.7894748 -90.2192941
Makeni, Sierra Leone	8.5232766 -11.8264002
Colonia Doctores, Mexico City, Mexico	19.4169648 -99.1489862
Keddie, California, USA	40.008354 -120.96443941084021
Genesee County, Michigan, USA	43.0220032 -83.7274305
Elgin, Ontario, Canada	44.6078459 -76.222017
Figline Valdarno, Italy	43.6182138 11.4729816
Trinway, Ohio, USA	40.1411804 -82.0098585
Beelitz, Brandenburg, Germany	52.2363582 12.9700041
Flatwoods, Kentucky, USA	38.5225805 -82.7171081
Friedens, Pennsylvania, USA	40.0500782 -78.9983591
Junction City, Ohio, USA	39.7211793 -82.2987615
Newcastle, Oklahoma, USA	35.2472869 -97.59976
Hamina, Finland	60.5688901 27.1881877
Gotteszell, Bavaria, Germany	48.9634856 12.9648426
Domaine des Sources de la Seine, Paris, France	48.8064185 2.1270556667108744
Cullman, Alabama, USA	34.1335332 -86.8779268
Nainital, Uttaranchal, India	29.29478295 79.41548093726253
Temple, Maine, USA	44.6850592 -70.2264519
Virginia City, Montana, USA	45.2935505 -111.9442329
Penola, South Australia, Australia	-37.3761655 140.8404168
Chaloos, Iran	36.6506329 51.4223717
Marche en Famenne region, Luxembourg	50.2265147 5.3407365
York, England, USA	53.9646259 -1.0832756
Moray, Scotland, UK	57.39757545 -3.193114635489361
Seac Pai Van Park, Macau, China	22.12621035 113.55893229996133
Austerlitz, New York, USA	42.3117536 -73.4731684
Commercial Road Prahran, Victoria, Australia	-37.8455762 144.9844064
D�g, Hungary	47.5422697 21.607905024896077
Goffstown, New Hampshire, USA	43.020445 -71.600257
Lukomir, Bosnia-Herzegovina	43.6373159 18.183127
1368 26th Street Denver, Colorado, USA	39.758931632427505 -104.9859807107245
Tutukaka, New Zealand	-35.6083254 174.5244347
Yvoir, Belgium	50.3260425 4.877815
Hokke-Ji Temple, Nara, Japan	34.6923452 135.8041753
Boven-Leeuwen, Netherlands	51.8845134 5.5515886
Norfolk Island, Australia	-29.0289575 167.9587289126371
Leioa, Vizcaya, Spain	43.3271048 -2.9846079
Wil, Kanton Sankt Gallen, Switzerland	47.4654409 9.0423202
Netzschkau, Germany	50.6132276 12.2479711
Tampereen kauppahalli, Tampere, Finland	61.49683645 23.75883032087998
Albion, California, USA	39.2235117 -123.7686251
Glastonbury, England, UK	51.14804 -2.716577
Northfield, Illinois, USA	42.09975 -87.7808967
Christmas Island, Australia	-10.49124145 105.6173514897963
Great Falls, Montana, USA	47.5048851 -111.29189
Babine River, British Columbia, Canada	55.6206985 -127.3339064
1109 Coronel Street San Fernando, California, USA	34.2817621331681 -118.44375053943483
Arvand, Abadan, Iran	30.3294435 48.2835097
Banatski Brestovac, Serbia	44.7266366 20.8084452
Roper River, Northern Territory, Australia	-14.6873399 134.3765274
Jemaye, Dordogne, France	45.16309645 0.26813196506549053
Plumsteadville, Pennsylvania, USA	40.3873269 -75.1465614
Detmold, North Rhine-Westphalia, Germany	51.936284 8.8791526
Rayer Bazar, Dhaka, Bangladesh	23.7450029 90.3629553
Morvan, France	47.0972134 4.081644216205483
Crossgate, Durham	54.7760543 -1.5804879
Kuttikkanam, Kerala, India	9.5823102 76.970999
Awash National Park, Ethiopia	8.9940466 39.979955043529856
Goodyear, Arizona, USA	33.4353672 -112.3576
Wellsford, Kansas, USA	37.6166851 -99.0287147
Mulgrave, Victoria, Australia	-37.9319869 145.1817988109604
Arlington Virginia, USA	38.8903961 -77.0841585
Shore Acres, Texas, USA	29.621096 -95.006696
Betty's Hope - Pares, Antigua, Guatemala	17.0816654 -61.74576515
Podol�, Prague, Czech Republic	50.051597099999995 14.421155170175497
Eschenlohe, Bavaria, Germany	47.5984207 11.185454
Via Brunari 2B, Bellinzona, Switzerland	46.1998283 9.018742
Tatacoa Desert, Colombia	3.2333462 -75.1690534
Pompidou Centre, Paris, France	48.860591799999995 2.3524739698350845
Hornslet, Jylland, Denmark	56.3137043 10.3159583
Sonargaon, Dhaka, Bangladesh	23.6421599 90.6023361
New Vernon, New Jersey, USA	40.7453784 -74.4973774
Mirpurkhas, Sindh, Pakistan	25.5262817 69.0110617
Hudson Valley, Wisconsin, USA	44.967006100000006 -92.74324004127328
Miesbach, Bavaria, Germany	47.790025 11.8335417
Hammond, South Australia, Australia	-32.5183569 138.3135448
Seebruck, Bavaria, Germany	47.9340156 12.4783274
Texas Canyon, Arizona, USA	33.3574546 -111.4708343
Seal Harbor, Maine, USA	44.3031358 -68.2402921
A38, Budapest, Hungary	47.4765297 19.062924908374313
8148 Sunset Boulevard - West Hollywood, California, USA	34.098068250000004 -118.36602231250001
Mount Claremont, WA, Australia	-31.9644405 115.7820352
San Jose de Gracia, Jalisco, Mexico	20.0973 -103.4401544
Dawson, Alaska, USA	64.9188851 -148.3834078
Palace Embankment, St. Petersburg, Russia	59.941147 30.3127645
Ingliston, Victoria, Australia	-37.660045499999995 144.30868448910905
Elsinore, California, USA	33.6680772 -117.3272615
Downtown Saint Louis, Missouri, USA	38.6260958 -90.1901359
Gravelly Hill, Birmingham, UK	52.5153876 -1.8527077
Nkhata Bay, Malawi	-11.608449199999999 34.04156908448276
Hubli-Dharwar, Karnataka, India	15.4077617 75.0648787
Sturgis, Michigan, USA	41.799217 -85.4191482
Puck, Pomorskie, Poland	54.7144128 18.406782814441442
St. Davids, Pennsylvania, USA	40.0409428 -75.3785234
Valkeakoski, Finland	61.2637921 24.0301278
Mekong River	17.898309949999998 104.25879404064996
Helsinki Olympic Stadium, Helsinki, Finland	60.1870012 24.927250936847415
Le Bar-sur-Loup, Alpes-Maritimes, France	43.7012408 6.988256
Manistee County, Michigan, USA	44.3308044 -86.0262043
75 Vanderbilt Ave Staten Island, New York, USA	40.62218005 -74.07578583323192
Macedonia, Ohio, USA	41.313667 -81.50845
Koh Pha Ngan, Thailand	9.7379473 100.0247795
Ovid, New York, USA	42.6764593 -76.8230111
Jumirim, S�o Paulo, Brazil	-23.0843839 -47.7882279
San Pablo City, Laguna, Philippines	14.0703401 121.3237521
Coolville, Ohio, USA	39.218831050000006 -81.79958091239656
Ludowici, Georgia, USA	31.7097964 -81.7430846
Globe, Arizona, USA	33.3959623 -110.787134
Oita, Japan	33.1819875 131.4270217
North Myrtle Beach, South Carolina, USA	33.8278405 -78.6800323
Charlotte Amalie, St. Thomas, U.S. Virgin Islands	18.341137 -64.932789
Caldwell, New Jersey, USA	40.8398218 -74.2765366
Museo del Traje, Madrid, Spain	40.44012545 -3.728837894414477
Casper, Wyoming, USA	42.8501191 -106.325138
Neah Bay, Washington, USA	48.365339 -124.615534
Kritsa, Crete, Greece	35.1557627 25.6461433
Wiener Wald, Austria	48.2088193 16.3712535
Priest Lake, Idaho, USA	48.6094455 -116.8783790059565
Suzu, Ishikawa, Japan	37.438147 137.2484135
Baker, Florida, USA	30.3143459 -82.2847163
Winter Harbor, Maine, USA	44.395523 -68.083649
Novoalekseevka, Almaty Oblysy, Kazakhstan	43.402813 77.221046
Piscine de Nogent Sur Marne, France	48.8465213 2.4263398
Vergennes, Vermont, USA	44.168415 -73.252029
Revelstoke, British Columbia, Canada	50.998045 -118.1956709
West Alexander, Pennsylvania, USA	40.1041395 -80.50817947393247
Sledge, Mississippi, USA	34.4320519 -90.2209265
Pik Dame, Frankfurt, Germany	50.1089325 8.6672558
Cais das Colunas, Lisbon, Portugal	38.70661475 -9.136153439226518
Village Naniani, Georgia	41.6659179 45.7048156
Knysna, Western Cape, South Africa	-34.035734 23.048485
Vestre Elvebakke 3, 0182 Oslo, Norway	59.919001 10.752918
Ma An-shan Village, Hong Kong, China	22.4248684 114.23168661519284
Holland Centre, Ontario, Canada	44.3945886 -80.7952482
Gateshead, Tyne & Wear, UK	54.9617219 -1.6044065
Garnet, Montana, USA	46.8252097 -113.3389643
374 North End Rd, Fulham, London	51.4811044 -0.1993362
Emmerich, North Rhine-Westphalia, Germany	51.8322137 6.2428283
Scotia, New York, USA	42.8264652 -73.9642915
Fjerritslev, Denmark	57.088801 9.2731047
White Waltham Airfield Maidenhead England UK	51.4986775 -0.7736649058390792
Pololu Valley, Hawaii, USA	20.2037019 -155.7337626
Real del Monte, Hidalgo, Mexico	20.1384604 -98.6733356
Calabasas/Agoura, California, USA	34.139356750000005 -118.71047451915365
Navotas, Metro Manila, Philippines	14.6571862 120.9479692
Southern Highlands, New South Wales, Australia	-34.4842849 150.422829033464
Windsor, Colorado, USA	40.4753755 -104.9156269166011
Greenville, Michigan, USA	43.1775314 -85.2527987
Alberta, Canada	55.001251 -115.002136
Bengaluru, Karnataka, India	12.9767936 77.590082
Kalispell Montana, USA	48.202158 -114.315321
Auenweg, Cologne, Germany	50.9450023 6.9739604
Sierra Tarahumara, Chihuahua, Mexico	28.7043673 -106.1153883
Royal Pines Hotel, Gold Coast, Australia	-28.00464435 153.37607832901685
Kalatop, Himachal Pradesh, India	32.5517736 76.0185242
Bhandardara, Maharashtra, India	19.5551306 73.7558419
Castle, Vianden, Luxembourg	49.91284645 6.137639152405968
Waxenstein, Bavaria, Germany	47.6658503 11.5427384
Galveston County, Texas, USA	29.3872254 -94.992736
Prudhoe Bay, Alaska, USA	70.2450108 -148.397837
Bartin, Turkey	41.4947715 32.4354255
67 Rue de Lancry, Paris, �le-de-France 75010 France	48.8728272 2.363493
SCR, County Dublin, Ireland	53.3322446 -6.269005
Jeffersontown, Kentucky, USA	38.1942356 -85.5644033
Pala, Kerala, India	9.7130742 76.6831302
Chalsa, West Bengal, India	26.8813771 88.7943089
Merida, Yucatan, Mexico	20.9670759 -89.6237402
Pori, Noormarkku, Finland	61.5927219 21.8684545
Sinj, Croatia	43.7024124 16.6407486
Kamyanets-Podilsky, Ukraine	48.6879663 26.6019747
Ballaugh, Isle of Man	54.31168995 -4.542891158387038
Kampen, Overijssel, Netherlands	52.5559484 5.9033303
Casa de Campo, Dominican Republic	18.4163009 -68.9232404
Uslar, Lower Saxony, Germany	51.6586082 9.6338073
Taylor Park, Colorado, USA	37.9480638 -104.8580413
Mataranka, Northern Territory, Australia	-14.9278841 133.069058
Reichenau an der Rax, Lower Austria, Austria	47.70674055 15.79243054109504
Resenbro, Jylland, Denmark	56.1815679 9.644425
Uyuni, Bolivia	-20.46060285 -66.82436382407782
Vejle, Jylland, Denmark	55.9495963 8.4863484
Leduc, Alberta, Canada	53.2607825 -113.5511681
Muntinlupa, Philippines	14.3892634 121.0449101
Veules-les-Roses, Seine-Maritime, France	49.8722029 0.7990652
Guanacaste, Costa Rica	10.378844050000001 -85.43382874573226
Brosteni, Romania	47.239192 25.6979188
Upper Montclair, New Jersey, USA	40.8462107 -74.2012565
Minsk Mazowiecki, Mazowieckie, Poland	52.17959585 21.56945595388331
La Huila, Colombia	3.6088895 -74.7030683
Philopappos Hill, Athens, Greece	37.9675643 23.7221248
Mont-Roig del Camp, Tarragona, Spain	41.0846728 0.9613021
Elbasan, Albania	41.1105874 20.0794072
Powai, Mumbai Maharashtra, India	19.1187195 72.9073476
Villa Litta, Italy	45.516670000000005 9.16772314433527
Pianoro, Emilia-Romagna, Italy	44.392964 11.342314
Steinach, Tirol, Austria	47.0982303 11.4661524
Gjern, Jylland, Denmark	56.2264181 9.7393316
Afidnes, Greece	38.2056532 23.8364137
Brianza, Lombardia, Italy	45.639544 9.278869369225038
Apt, Vaucluse, France	43.8757936 5.3970648
Daybreak, Utah, USA	40.5846706 -111.8257663
San Luis, Arizona, USA	32.4934395 -114.7737551
Cypress Hills, Saskatchewan, Canada	49.6251681 -109.2495863
Kaliste, Czech Republic	49.5925985 15.3040584
Giannitsa, Greece	40.7929908 22.4140645
McLaren Falls Park, Bay of Plenty, New Zealand	-37.81329385 176.04568384314769
Anchor Point, Alaska, USA	59.76826 -151.67755197505488
Menthon-Saint-Bernard, Haute-Savoie, France	45.8597877 6.1961189
Moutier-d'Ahun, Creuse, France	46.0913154 2.0546763
El Reno, Oklahoma, USA	35.532198 -97.9550578
1034 Audubon Drive, Memphis TN, USA	35.1033581 -89.91981014708054
Dufur, Oregon, USA	45.4531081 -121.1302238
Mato Grosso, Brazil	-12.2115009 -55.5716547
Saint-Louis, Haut-Rhin, France	47.5860467 7.5615765
Kaiping, Guangdong, China	22.3474568 112.5344174
Ciudad Obregon, Sonora, Mexico	27.4846619 -109.9337782
Haut-Asco, Haute-Corse, France	42.4032858 8.9235583
Isen, Bavaria, Germany	48.1876769 12.063452278681194
Heian Shrine, Kyoto, Japan	35.015906799999996 135.78289780423577
Moi, Rogaland, Norway	58.4580677 6.5505577
Duvall, Washington, USA	47.7423219 -121.9856782
Butano State Park, California, USA	37.20679475 -122.33169526754818
Khust, Ukraine	48.1764917 23.291166
Chester, Arkansas, USA	35.6809165 -94.1752057
Lobbes, Belgium	50.35415555 4.238652470459903
Franklin County, Pennsylvania, USA	39.9259345 -77.7485516
Galapagos Islands, Ecuador	-0.62881505 -90.3638752022324
Nottingham	52.9534193 -1.1496461
Oceania	-18.3128 138.5156
Sheraton Hotel, Ajman, United Arab Emirates	25.3960737 55.4226575
Hainesville, Illinois, USA	42.3450219 -88.067858
Yorktown, Virginia, USA	37.235665499999996 -76.51364950821196
Zece Prajini, Romania	46.9394343 27.1832162
Jamestown, Indiana, USA	39.9306998 -86.62220784446413
Ouagadougou, Burkina Faso	12.3681873 -1.5270944
Morehead City, North Carolina, USA	34.7229391 -76.7260436
Scottsburg, Indiana, USA	38.685614 -85.7702451
Painted Desert, Arizona, USA	35.08388215 -109.78878246995701
Hillsborough, North Carolina, USA	36.0752297 -79.0992279
Bongao Island, Tawi Tawi, Philippines	5.02067655 119.75647023708402
Hilton Caribe Hotel, San Juan, Puerto Rico	18.46322835 -66.08552460649858
Corse du Sud, Corsica, France	41.87340825 9.0087052196875
Montverde Academy	28.5985131 -81.6755602
Rietz-Neuendorf, Brandenburg, Germany	52.2290504 14.1736362
225 East 64th Street, New York, USA	40.7644922244898 -73.96362620408163
Montrouge, Hauts-de-Seine, France	48.8188544 2.3194375
Paniqui, Tarlac, Philippines	15.6686544 120.5858177
Kullu, Himachal Pradesh, India	32.00186325 77.37899639741332
Great Divide Trail, Canada	49.048553 -113.917819
Pirin Mountain, Bulgaria	41.819388700000005 23.475982958218285
Messehallen, Hamburg, Germany	53.5580721 9.9767239
Reserviupseerikoulu, Hamina, Finland	60.566328 27.201805256415128
Necedah, Wisconsin, USA	44.0261999 -90.0737133
Donskoy District, Moscow, Russia	55.705227 37.601639
North Branch, Michigan, USA	44.69906 -85.3054541
Lake Mathews, California, USA	33.840402999999995 -117.43832421322014
Heidesee, Brandenburg, Germany	52.2564475 13.782084
heber City, Utah, USA	40.506463 -111.4132963
Bolton Abbey, Skipton, N Yorkshire	53.9757061 -1.9903223
Kyoto, Ukyo Ward, Japan	35.0140595 135.67302882690078
Yuzhnoye Medvedkovo District, Moscow, Russia	55.8748262 37.6338939
Tenosique, Tabasco, Mexico	17.45949075 -91.3134075788233
Hebron, Illinois, USA	42.4716853 -88.432318
Juval Castle, South Tyrol, Italy	46.6516268 10.9680134
San Jose, Occidental Mindoro, Philippines	12.3529756 121.0663052
Quilmes, Buenos Aires, Argentina	-34.7303025 -58.268868
Dassen Island, South Africa	-33.423204999999996 18.08633075892857
Sagara, Karnataka, India	14.1700827 75.0235133
Lagoa Grande, Pernambuco, Brazil	-8.9930649 -40.2716452
Delhi, India	28.6517178 77.2219388
Ristiina, Finland	61.48097765 27.346017052620464
2241 Phoenix Ave NE Albuquerque, New Mexico, USA	35.1110907229061 -106.61973367474076
Pargny-Filain, Aisne, France	49.4631 3.54353
Hillsborough County, Florida, USA	27.9184543 -82.3488057
Deerfield, Illinois, USA	42.1711365 -87.8445119
Turangi, New Zealand	-38.9887347 175.8089539
Tulare County, California, USA	36.2516475 -118.852583
Lolland, Denmark	54.7772537 11.41568941316882
Kaldu, Saaremaa, Estonia	58.454173999999995 23.267885802721086
Winchendon, Massachusetts, USA	42.6587935 -72.0490326
Croton, New York, USA	41.2083836 -73.8901688
Burgan Field, Kuwait	29.01384525 47.97588647940905
Nazlini, Arizona, USA	35.915068000000005 -109.47185031326396
Hausmanns gate 34, 0182 Oslo, Norway	59.919148 10.751978
Yucatan Peninsula, Mexico	18.845 -89.1255556
Downey, California, USA	33.942215 -118.1235646
Rancho Cordova, California, USA	38.5890723 -121.302728
avenue Hassan II, Kenitra, Morocco	34.0217528 -6.8388325
Lakewold Gardens, Lakewood Washington, USA	47.145625749999994 -122.53700897986445
Diamantina River, South Australia, Australia	-26.1140483 139.37007119290658
Lancefield, Victoria, Australia	-37.2763273 144.7340354
Santiago de Cali, Colombia	3.4517923 -76.5324943
Des Plaines, Illinois, USA	42.0415823 -87.8873916
Waterton Lakes National Park, Alberta, Canada	49.101117349999996 -113.98100763190487
Pasecnice, Czech Republic	49.3949335 12.8939763
Tivoli Village Las Vegas, Nevada, USA	36.168052 -115.28581219764462
Niagara River, Ontario, Canada	42.955203600000004 -78.95021887761945
Louisbourg Fortress, Nova Scotia, Canada	45.8929124 -60.050881771717044
Okavango Delta, Botswana	-19.3071769 22.77878935869753
Hotel Jaragua, Santo Domingo, Dominican Republic	18.4636869 -69.89985573582234
Huejutla, Hidalgo, Mexico	21.1351839 -98.414375
Harasov, Czech Republic	50.4118206 14.572002054362414
Nagorno-Karabakh, Azerbaijan	39.8079192 46.6977209
Santa Catarina, Brazil	-27.0628367 -51.114965
Newcastle upon Tyne, England, UK	54.9738474 -1.6131572
Bernburg, Saxony-Anhalt, Germany	51.7930788 11.7391606
Machiasport, Maine, USA	44.698922 -67.394943
234 West 44th Street, New York, USA	40.75775455 -73.98761601214207
Mount Forest, Ontario, Canada	43.9806979 -80.7338237
River Fowey, Cornwall, UK	50.4587897 -4.5947689
Rydultowy, Slaskie, Poland	50.0664038 18.424506206793204
Westbrook, Maine, USA	43.6763036 -70.3663874
Crestwood, New York, USA	40.9590311 -73.8209864
Stollberg, Saxony, Germany	50.7087734 12.7762607
